securities_trader,price,buy,sell,securities_trader_id,stock_id,date
宏遠,129.95,6000,0,1260,0050,2023-12-05
宏遠,130.0,12000,0,1260,0050,2023-12-05
宏遠,130.05,11000,6000,1260,0050,2023-12-05
宏遠,130.1,13000,0,1260,0050,2023-12-05
宏遠,130.15,10000,6000,1260,0050,2023-12-05
宏遠,130.2,16000,0,1260,0050,2023-12-05
宏遠,130.25,54000,0,1260,0050,2023-12-05
宏遠,130.3,5000,0,1260,0050,2023-12-05
宏遠,130.5,3000,0,1260,0050,2023-12-05
宏遠,130.55,0,3000,1260,0050,2023-12-05
宏遠,130.6,3000,0,1260,0050,2023-12-05
宏遠中和,129.95,1000,0,126H,0050,2023-12-05
宏遠光隆,129.9,1000,0,126i,0050,2023-12-05
宏遠台中,130.4,20,0,126L,0050,2023-12-05
宏遠高雄,130.25,39,0,126Q,0050,2023-12-05
宏遠高雄,130.3,20,0,126Q,0050,2023-12-05
宏遠館前,130.1,1000,0,126U,0050,2023-12-05
宏遠館前,130.25,1000,1000,126U,0050,2023-12-05
宏遠新化,130.1,5020,0,126X,0050,2023-12-05
台灣摩根,129.9,12000,0,1470,0050,2023-12-05
台灣摩根,129.95,26000,0,1470,0050,2023-12-05
台灣摩根,130.0,21000,0,1470,0050,2023-12-05
台灣摩根,130.05,34000,0,1470,0050,2023-12-05
台灣摩根,130.1,54000,0,1470,0050,2023-12-05
台灣摩根,130.15,28000,0,1470,0050,2023-12-05
台灣摩根,130.2,48000,0,1470,0050,2023-12-05
台灣摩根,130.25,134000,0,1470,0050,2023-12-05
台灣摩根,130.3,20000,0,1470,0050,2023-12-05
台灣摩根,130.35,39000,0,1470,0050,2023-12-05
台灣摩根,130.4,5000,0,1470,0050,2023-12-05
台灣摩根,130.5,4000,0,1470,0050,2023-12-05
花旗環球,129.95,0,19000,1590,0050,2023-12-05
花旗環球,130.0,0,19000,1590,0050,2023-12-05
花旗環球,130.05,0,53000,1590,0050,2023-12-05
花旗環球,130.1,0,81000,1590,0050,2023-12-05
花旗環球,130.15,0,112000,1590,0050,2023-12-05
花旗環球,130.2,0,26000,1590,0050,2023-12-05
花旗環球,130.25,0,45000,1590,0050,2023-12-05
花旗環球,130.3,0,76000,1590,0050,2023-12-05
花旗環球,130.35,0,34000,1590,0050,2023-12-05
花旗環球,130.4,0,23000,1590,0050,2023-12-05
花旗環球,130.5,0,11000,1590,0050,2023-12-05
瑞銀,130.0,0,65000,1650,0050,2023-12-05
瑞銀,130.05,0,3000,1650,0050,2023-12-05
瑞銀,130.2,2000,0,1650,0050,2023-12-05
瑞銀,130.25,26000,0,1650,0050,2023-12-05
瑞銀,130.3,35000,0,1650,0050,2023-12-05
瑞銀,130.45,0,2000,1650,0050,2023-12-05
瑞銀,130.5,0,1000,1650,0050,2023-12-05
瑞銀,130.55,0,3000,1650,0050,2023-12-05
瑞銀,130.6,0,18000,1650,0050,2023-12-05
亞東,130.0,1000,0,2180,0050,2023-12-05
亞東,130.05,1000,0,2180,0050,2023-12-05
亞東,130.1,50,0,2180,0050,2023-12-05
亞東,130.2,200,0,2180,0050,2023-12-05
亞東,130.25,10010,0,2180,0050,2023-12-05
亞東,130.35,0,53,2180,0050,2023-12-05
亞東,130.6,0,1000,2180,0050,2023-12-05
