securities_trader,price,buy,sell,securities_trader_id,stock_id,date
凱基松山,62.3,0,30000,9217,1722,2023-11-15
凱基松山,109.0,1000,0,9217,1760,2023-11-15
凱基松山,110.5,1000,0,9217,1760,2023-11-15
凱基松山,111.0,0,1000,9217,1760,2023-11-15
凱基松山,111.5,0,1000,9217,1760,2023-11-15
凱基松山,39.4,0,5000,9217,1785,2023-11-15
凱基松山,243.0,0,184,9217,1795,2023-11-15
凱基松山,248.0,5000,0,9217,1795,2023-11-15
凱基松山,248.5,0,5000,9217,1795,2023-11-15
凱基松山,249.0,0,1000,9217,1795,2023-11-15
凱基松山,250.0,0,100,9217,1795,2023-11-15
凱基松山,250.5,1000,0,9217,1795,2023-11-15
凱基松山,252.0,0,3000,9217,1795,2023-11-15
凱基松山,253.0,2000,0,9217,1795,2023-11-15
凱基松山,9.26,0,2000,9217,1806,2023-11-15
凱基松山,94.8,1000,0,9217,1808,2023-11-15
凱基松山,17.0,2000,0,9217,1815,2023-11-15
凱基松山,17.25,4000,0,9217,1815,2023-11-15
凱基松山,29.15,0,1000,9217,1904,2023-11-15
凱基松山,21.55,1000,0,9217,1905,2023-11-15
凱基松山,14.2,0,2000,9217,1909,2023-11-15
凱基松山,24.8,0,5000,9217,2002,2023-11-15
凱基松山,24.85,2000,2000,9217,2002,2023-11-15
凱基松山,24.9,0,6000,9217,2002,2023-11-15
凱基松山,24.95,0,12000,9217,2002,2023-11-15
凱基松山,68.7,0,1000,9217,2006,2023-11-15
凱基松山,10.5,0,5000,9217,2007,2023-11-15
凱基松山,13.1,0,1000,9217,2017,2023-11-15
凱基松山,15.45,0,1000,9217,2023,2023-11-15
凱基松山,15.5,0,1000,9217,2023,2023-11-15
凱基松山,15.6,0,1000,9217,2023,2023-11-15
凱基松山,15.7,0,1000,9217,2023,2023-11-15
凱基松山,7.38,0,1000,9217,2025,2023-11-15
凱基松山,7.48,2000,0,9217,2025,2023-11-15
凱基松山,36.85,0,10,9217,2027,2023-11-15
凱基松山,37.0,0,1000,9217,2027,2023-11-15
凱基松山,37.1,1000,0,9217,2027,2023-11-15
凱基松山,17.9,0,6000,9217,2030,2023-11-15
凱基松山,47.95,0,1000,9217,2031,2023-11-15
凱基松山,48.0,0,2000,9217,2031,2023-11-15
凱基松山,15.7,0,1000,9217,2032,2023-11-15
凱基松山,209.5,6000,0,9217,2049,2023-11-15
凱基松山,210.0,7000,0,9217,2049,2023-11-15
凱基松山,211.0,6000,1000,9217,2049,2023-11-15
凱基松山,37.45,1000,0,9217,2101,2023-11-15
凱基松山,37.9,0,1000,9217,2101,2023-11-15
凱基松山,38.25,0,1000,9217,2101,2023-11-15
凱基松山,23.6,0,560,9217,2103,2023-11-15
凱基松山,23.65,0,15000,9217,2103,2023-11-15
凱基松山,23.8,0,1000,9217,2103,2023-11-15
凱基松山,46.4,0,1000,9217,2105,2023-11-15
凱基松山,46.55,0,1000,9217,2105,2023-11-15
凱基松山,23.3,100,0,9217,2107,2023-11-15
凱基松山,14.15,5000,0,9217,2109,2023-11-15
凱基松山,14.2,0,4000,9217,2109,2023-11-15
凱基松山,79.0,0,1000,9217,2201,2023-11-15
凱基松山,79.1,0,1000,9217,2201,2023-11-15
凱基松山,79.4,0,1000,9217,2201,2023-11-15
凱基松山,79.6,0,1000,9217,2201,2023-11-15
凱基松山,99.7,0,1000,9217,2204,2023-11-15
凱基松山,99.8,0,2000,9217,2204,2023-11-15
凱基松山,100.0,0,2000,9217,2204,2023-11-15
凱基松山,101.0,0,1000,9217,2204,2023-11-15
凱基松山,72.0,0,1000,9217,2206,2023-11-15
凱基松山,72.2,1000,0,9217,2206,2023-11-15
凱基松山,72.6,0,1000,9217,2206,2023-11-15
凱基松山,671.0,0,1000,9217,2207,2023-11-15
凱基松山,673.0,0,1000,9217,2207,2023-11-15
凱基松山,20.8,0,1000,9217,2208,2023-11-15
凱基松山,72.9,1000,0,9217,2211,2023-11-15
凱基松山,134.5,0,1000,9217,2231,2023-11-15
凱基松山,18.4,0,1000,9217,2243,2023-11-15
凱基松山,18.65,9000,0,9217,2243,2023-11-15
凱基松山,18.9,0,2000,9217,2243,2023-11-15
凱基松山,19.1,0,1000,9217,2243,2023-11-15
凱基松山,19.25,0,2000,9217,2243,2023-11-15
凱基松山,19.4,0,2000,9217,2243,2023-11-15
凱基松山,112.5,2000,19000,9217,2301,2023-11-15
凱基松山,113.0,0,4000,9217,2301,2023-11-15
凱基松山,113.5,0,4000,9217,2301,2023-11-15
凱基松山,114.5,6000,4000,9217,2301,2023-11-15
凱基松山,115.0,0,14000,9217,2301,2023-11-15
凱基松山,115.5,0,2000,9217,2301,2023-11-15
凱基松山,116.0,4000,4000,9217,2301,2023-11-15
凱基松山,116.5,0,2000,9217,2301,2023-11-15
凱基松山,117.0,1000,0,9217,2301,2023-11-15
凱基松山,48.7,1000,0,9217,2303,2023-11-15
凱基松山,48.85,0,1665,9217,2303,2023-11-15
凱基松山,48.95,0,2000,9217,2303,2023-11-15
凱基松山,49.0,3000,0,9217,2303,2023-11-15
凱基松山,49.1,1000,0,9217,2303,2023-11-15
凱基松山,49.25,0,5000,9217,2303,2023-11-15
凱基松山,23.85,3000,0,9217,2305,2023-11-15
